dataset,method,100,200,300,400,500
com-dblp.ungraph,SandIMIN-BEST,4525.57,3187.575,2727.76,2938.12,2767.73
com-dblp.ungraph,SandIMIN-LB,353.201667,179.2435,219.7155,198.841,270.281
com-dblp.ungraph,SandIMIN-UB,3628.53,2487.095,1892.245,1931.61,1427.32
com-dblp.ungraph,SandIMIN-OR,0.003694,0.002375,0.00176,0.017441,0.00881
com-youtube.ungraph,SandIMIN-BEST,4931.57,3174.16,4222.76,5537.55,7448.58
com-youtube.ungraph,SandIMIN-LB,640.3985,330.155,403.72,722.288,1019.25
com-youtube.ungraph,SandIMIN-UB,4430.61,2804.69,3819.79,5163.72,6984.33
com-youtube.ungraph,SandIMIN-OR,0.016139,0.004975,0.006234,0.010703,0.017082
email-EuAll,SandIMIN-BEST,575.753667,756.904,639.464,835.3485,806.6745
email-EuAll,SandIMIN-LB,125.173133,119.3565,114.084,135.9275,151.3295
email-EuAll,SandIMIN-UB,376.772667,548.372,431.982,559.05,515.5
email-EuAll,SandIMIN-OR,0.003601,0.006374,0.003201,0.005039,0.003615
p2p-Gnutella31,SandIMIN-BEST,138.711212,274.466,899.481714,2e-06,2e-06
p2p-Gnutella31,SandIMIN-LB,20.412835,43.436414,59.171786,,
p2p-Gnutella31,SandIMIN-UB,31.836263,64.630414,105.956286,,
p2p-Gnutella31,SandIMIN-OR,0.000398,0.001369,0.004896,,
