algorithm,k,spread_before,spread_after,saved_nodes,time_seconds,result_type
AdvancedGreedy,5,4280.39,1504.6,2775.8,0.692206,AG
IMin SandIMIN,5,4368.27,1160.97,3207.31,24.0523,BEST
IMin SandIMIN,5,4368.27,1167.51,3200.76,24.0523,LB
IMin SandIMIN,5,4368.27,1318.76,3049.52,24.0523,UB
IMin SandIMIN,5,4368.27,1924.55,2443.72,24.0523,OR
AdvancedGreedy,100,4280.39,105.856,4174.54,8.87024,AG
IMin SandIMIN,100,4363.54,117.197,4246.34,55.6666,BEST
IMin SandIMIN,100,4363.54,175.537,4188,55.6666,LB
IMin SandIMIN,100,4363.54,518.99,3844.55,55.6666,UB
IMin SandIMIN,100,4363.54,117.181,4246.36,55.6666,OR
